freq,word
1,ethel
58,gerty
17,likes
3,breaths
3,jam
5,bracelets
1,tittering
3,struggle
4,disappointed
7,troubled
16,river
2,chapbook
34,noone
7,deftly
36,amid
42,talk
3,pierce
10,polished
5,mail
2,jester
46,court
3,indulged
1,disesteemed
4,winning
1,clement
7,praise
4,chosen
62,part
3,caress
55,often
1,pawnshop
15,fallen
1,beldams
1,argos
6,julius
4,caesar
1,knifed
6,branded
2,fettered
6,lodged
9,infinite
5,possibilities
2,ousted
42,possible
49,pass
1,weaver
30,story
3,ghoststory
14,begin
19,opening
8,weep
14,talbot
1,swarthy
26,opened
1,breastwork
3,recited
11,jerks
10,verse
8,glances
4,shepherds
1,lycidas
8,sunk
172,though
5,watery
15,movement
1,actuality
3,aristotles
5,formed
48,itself
1,gabbled
4,verses
2,studious
65,saint
1,genevieve
3,sheltered
33,sin
12,delicate
4,siamese
1,conned
3,handbook
1,strategy
8,fed
7,feeding
15,brains
2,glowlamps
2,feelers
13,minds
15,darkness
1,sloth
1,underworld
7,reluctant
11,shy
10,brightness
2,shifting
4,dragon
1,scaly
5,tranquil
18,forms
3,tranquility
20,vast
1,candescent
17,repeated
83,dear
32,waves
31,page
1,craven
16,hearts
40,shadow
25,lies
1,scoffers
7,eager
5,tribute
1,caesars
1,riddling
1,sentence
6,woven
1,churchs
4,looms
53,ay
9,riddle
3,randy
3,ro
4,seeds
3,sow
12,slid
28,closed
2,hockey
13,thursday
51,answer
2,bundled
18,books
1,pencils
8,rustling
1,crowding
1,strapped
3,buckled
2,satchels
1,gabbling
64,hard
15,cock
4,crew
19,sky
82,blue
36,heaven
13,striking
37,eleven
15,tis
10,bigger
3,itching
16,fox
7,burying
6,grandmother
2,hollybush
13,shout
11,nervous
2,echoed
3,dismay
36,stick
21,struck
4,corridor
3,asunder
3,sidling
2,benches
2,lumberroom
7,rattle
12,sticks
3,clamour
6,tongues
7,sargent
3,lingered
5,copybook
5,tangled
2,scraggy
11,witness
1,unreadiness
3,misty
23,glasses
22,weak
4,pleading
3,bloodless
9,stain
16,ink
1,dateshaped
9,recent
9,damp
3,snails
1,sums
33,written
1,headline
9,sloping
15,figures
6,signature
52,blind
2,loops
3,blot
1,cyril
7,seal
719,mr
42,deasy
25,touched
2,futility
9,numbers
17,fifteen
10,copy
17,board
7,ugly
1,futile
13,lean
29,loved
7,borne
34,race
2,trampled
2,underfoot
1,boneless
1,snail
4,drained
62,true
3,prostrate
2,fiery
3,columbanus
3,zeal
1,bestrode
5,skeleton
6,twig
5,burnt
13,scarcely
1,heath
5,winking
9,reek
1,rapine
4,fur
1,merciless
67,earth
1,solved
4,askance
5,slanted
1,hockeysticks
6,rattled
27,knock
37,ball
7,symbols
2,morrice
1,mummery
42,letters
24,wearing
3,quaint
12,caps
2,squares
2,cubes
4,traverse
19,bow
2,partner
1,imps
2,moors
2,averroes
35,moses
5,maimonides
5,mien
8,flashing
6,mocking
5,mirrors
4,obscure
3,comprehend
103,second
5,shaky
5,copied
2,data
36,help
2,faithfully
10,hue
17,shame
3,flickering
5,amor
2,matris
2,subjective
2,objective
2,genitive
1,wheysour
12,hid
1,swaddling
4,bands
31,shoulders
1,gracelessness
6,childhood
17,bends
1,palaces
13,weary
1,tyranny
4,tyrants
6,willing
1,dethroned
11,sum
4,dried
18,sheet
11,thin
4,blottingpaper
1,graceless
4,playfield
56,run
9,porch
1,laggard
1,scrappy
18,sharp
2,strife
2,sorted
1,teams
9,stepping
2,wisps
13,grass
2,gaitered
1,schoolhouse
2,contending
10,angry
23,moustache
2,continually
21,listening
2,halliday
18,study
2,restore
55,order
1,fussily
80,many
1,garish
2,bleaching
1,illdyed
13,stale
3,smoky
50,smell
1,drab
1,abraded
17,leather
9,chairs
2,bargained
5,sideboard
9,tray
2,stuart
16,coins
6,treasure
4,bog
7,snug
1,spooncase
17,purple
5,plush
12,faded
1,preached
4,gentiles
7,hasty
26,step
5,financial
1,settlement
28,coat
